eval_index,eval_filename,name,source_group,logical_id,source_path,prompt
1,0001.mp4,LVP_000,LVP100,0000,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0001.mp4,A person's left arm reaches down toward the black plunger in its holder on the hexagonal-tiled floor next to the toilet.
2,0002.mp4,LVP_001,LVP100,0001,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0002.mp4,A hand holding a silver fork moves it from over the black mug and places it into the red cup decorated with a dog pattern.
3,0003.mp4,LVP_002,LVP100,0002,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0003.mp4,A right hand in a grey sleeve reaches to lift the stainless steel pan lid from the black electric stovetop.
4,0004.mp4,LVP_003,LVP100,0003,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0004.mp4,"A person's left hand reaches to grab the top black, octagonal 'Iron Grip' weight plate from a stack on a yellow Hammer Strength machine."
5,0005.mp4,LVP_004,LVP100,0004,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0005.mp4,"A person's left hand, wearing a grey sweatshirt, turns the large silver control knob on the front of a grey LG washing machine."
6,0006.mp4,LVP_005,LVP100,0005,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0006.mp4,A hand moves the pink mouse on the white desk closer to the foreground.
7,0007.mp4,LVP_006,LVP100,0006,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0007.mp4,"A hand reaches into a grey, felt-lined nook and pulls a three-legged wooden stool out from the corner."
8,0008.mp4,LVP_007,LVP100,0007,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0008.mp4,A right hand reaches to grab the wooden chair with a cross-back design on the red brick patio.
9,0009.mp4,LVP_008,LVP100,0008,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0009.mp4,A metal ladle stirs chopped tomatoes simmering in a steaming stainless steel pot on a white electric stovetop.
10,0010.mp4,LVP_009,LVP100,0009,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0010.mp4,"A person's right hand lifts the open, downward-facing dishwasher door to close it."
11,0011.mp4,LVP_010,LVP100,0010,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0011.mp4,A right hand uses a blue pen to press the 'F' key on the black keyboard of a laptop.
12,0012.mp4,LVP_011,LVP100,0011,/shared/ssd_30T/zhuoyingyang/physact/ReVidgen/data/lvp_collect5_20/videos/0012.mp4,The left hand reaches for the green paper cup resting on the black leather couch and flips it upside down.
