name,score,prompt,reason
LVP_000,5,A person's left arm reaches down toward the black plunger in its holder on the hexagonal-tiled floor next to the toilet.,"The video shows a person's arm reaching down to pick up a toilet plunger from its holder, which is a common and physically plausible action. There are no floating parts, no spontaneous object appearances, and the grasp is physically grounded — the hand makes clear contact with the plunger handle and lifts it without penetration or non-contact attachment. The sequence follows natural human motion and context, making it fully consistent with human-level common sense."
LVP_001,5,A hand holding a silver fork moves it from over the black mug and places it into the red cup decorated with a dog pattern.,"The video shows a hand moving a fork from above a black mug to insert it into a red cup with a dog pattern. The motion is smooth and physically plausible, with no floating, penetration, or spontaneous object appearances. The fork is held and manipulated by the hand with clear contact, and the placement into the cup is consistent with human behavior. All interactions are grounded and common-sense compliant."
LVP_002,5,A right hand in a grey sleeve reaches to lift the stainless steel pan lid from the black electric stovetop.,"The video shows a human hand in a grey sleeve reaching for and lifting a stainless steel pan lid from a black electric stovetop. The motion is physically plausible: the hand approaches, grips the lid handle, lifts it, and removes it. There are no floating parts, no spontaneous object appearances, and the grasp is clearly contact-based. The sequence follows common-sense kitchen interaction: lifting a lid to check food. The final frame shows the lid removed and the pan now visible, which is a natural consequence. All frames are consistent with human-level expectations."
LVP_003,5,"A person's left hand reaches to grab the top black, octagonal 'Iron Grip' weight plate from a stack on a yellow Hammer Strength machine.","The sequence shows a human hand approaching, touching, and grasping a heavy weight plate in a realistic, step-by-step manner. There are no floating objects, no spontaneous appearances, and the hand makes clear physical contact with the plate before lifting. The motion follows natural human biomechanics for handling weights. All frames are physically consistent with each other and with common-sense expectations for gym activities."
LVP_004,5,"A person's left hand, wearing a grey sweatshirt, turns the large silver control knob on the front of a grey LG washing machine.","The video shows a human hand interacting with a washing machine control knob in a way that is physically plausible and consistent with common human behavior. The hand is properly grounded, making contact with the knob, and the motion is smooth and natural. There are no floating objects, no spontaneous appearances, and no false grasps. The interaction is realistic and aligns with everyday household tasks."
LVP_005,5,A hand moves the pink mouse on the white desk closer to the foreground.,"The video shows a hand moving a pink mouse across a desk, which is a plausible and common human interaction. There are no physical grounding violations (the hand and mouse remain on the desk surface), no spontaneous object appearances, and the interaction is physically consistent with a human hand grasping and moving the mouse. The motion is smooth and follows natural human behavior, making it fully consistent with common-sense expectations."
LVP_006,5,"A hand reaches into a grey, felt-lined nook and pulls a three-legged wooden stool out from the corner.","The video shows a hand reaching into a nook and pulling a three-legged wooden stool out from a corner. The motion is physically plausible: the hand makes contact with the stool, applies force to pull it out, and the stool moves smoothly without floating or penetrating other objects. There are no spontaneous appearances, and the grasp is clear and contact-based. The sequence aligns with common-sense human interaction with furniture."
LVP_007,4,A right hand reaches to grab the wooden chair with a cross-back design on the red brick patio.,"The video shows a human hand reaching toward a wooden chair on a patio. The hand's motion is natural and consistent across frames, with no floating, penetration, or false grasp. The chair remains stationary and physically grounded throughout, and no objects appear or disappear without cause. The interaction is plausible for a human reaching to grab a chair, aligning with common-sense expectations. The only minor issue is that the hand never actually makes contact or lifts the chair, which is not a violation but a slight inconsistency in the action's completion. However, the overall motion and context are realistic and free of major anomalies."
LVP_008,5,A metal ladle stirs chopped tomatoes simmering in a steaming stainless steel pot on a white electric stovetop.,"The video shows a human hand using a metal ladle to stir chopped tomatoes in a pot on a stovetop, which is a common, physically plausible cooking action. There are no floating objects, spontaneous appearances, or false grasps. The hand and ladle interact naturally with the pot and its contents. The sequence follows logical, human-level cooking behavior, with steam rising from the simmering pot and consistent kitchen context. All frames are physically grounded and consistent with common-sense expectations."
LVP_009,5,"A person's right hand lifts the open, downward-facing dishwasher door to close it.","The sequence shows a human hand lifting and closing a dishwasher door, which is a physically plausible and common action. There are no floating objects, no spontaneous appearances, and the hand interacts with the door through clear contact. The motion follows natural kinematics: the hand grips the door handle, lifts it upward, and pushes it shut. The background elements remain consistent, and the transition from open to closed is smooth and realistic. This fully aligns with human-level common-sense expectations for interacting with household appliances."
